GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06011","2018",,,"California","06",,,,,,,,,,,,,"11",,,,,"Congressional District 11 (116th Congress), California",762290,419654,65509,4286,115716,3689,101498,51938,11099,40839,"Congressional District 11 (116th Congress), California",8822,11632,6003,1833,6252,1814,9612,6007,3756,4112
"G06012","2018",,,"California","06",,,,,,,,,,,,,"12",,,,,"Congressional District 12 (116th Congress), California",764043,365047,39056,2208,249380,1750,57825,48777,6136,42641,"Congressional District 12 (116th Congress), California",7294,6145,2775,954,7028,1091,5281,5970,1844,5545
"G06013","2018",,,"California","06",,,,,,,,,,,,,"13",,,,,"Congressional District 13 (116th Congress), California",764304,312333,126848,5142,161671,5356,97130,55824,9028,46796,"Congressional District 13 (116th Congress), California",4454,10558,6372,1228,8327,1466,8733,5529,2096,5123
"G06014","2018",,,"California","06",,,,,,,,,,,,,"14",,,,,"Congressional District 14 (116th Congress), California",759415,328620,21827,2455,266053,9036,80155,51269,9675,41594,"Congressional District 14 (116th Congress), California",9210,11127,3175,1589,6223,1082,9630,5073,2421,4151
"G06015","2018",,,"California","06",,,,,,,,,,,,,"15",,,,,"Congressional District 15 (116th Congress), California",789174,314637,40917,3911,283643,9036,87236,49794,11419,38375,"Congressional District 15 (116th Congress), California",7724,12062,5547,1360,9445,2208,7879,5257,2641,5056
"G06016","2018",,,"California","06",,,,,,,,,,,,,"16",,,,,"Congressional District 16 (116th Congress), California",749967,422040,39188,8028,69456,1664,182392,27199,9337,17862,"Congressional District 16 (116th Congress), California",13450,14935,3808,1870,6667,1498,11534,3631,2520,2864
"G06017","2018",,,"California","06",,,,,,,,,,,,,"17",,,,,"Congressional District 17 (116th Congress), California",777468,222919,16541,3322,437632,1819,58748,36487,8592,27895,"Congressional District 17 (116th Congress), California",13510,11893,4292,1438,13502,710,12221,5129,1989,4704
"G06018","2018",,,"California","06",,,,,,,,,,,,,"18",,,,,"Congressional District 18 (116th Congress), California",750295,474238,16550,2638,180901,677,38312,36979,5333,31646,"Congressional District 18 (116th Congress), California",13343,12779,3786,1144,7153,568,8143,4640,1850,4230
"G06019","2018",,,"California","06",,,,,,,,,,,,,"19",,,,,"Congressional District 19 (116th Congress), California",763028,334224,23279,5242,222621,5519,128629,43514,7556,35958,"Congressional District 19 (116th Congress), California",15176,13912,3587,1767,9221,1625,11907,5673,1827,4889
"G06020","2018",,,"California","06",,,,,,,,,,,,,"20",,,,,"Congressional District 20 (116th Congress), California",739352,428821,14945,7779,40200,2653,213127,31827,6814,25013,"Congressional District 20 (116th Congress), California",6503,13880,1484,3264,2714,519,11960,3855,1638,3431
"G06021","2018",,,"California","06",,,,,,,,,,,,,"21",,,,,"Congressional District 21 (116th Congress), California",713625,510358,30157,7915,28192,1368,114712,20923,5489,15434,"Congressional District 21 (116th Congress), California",16164,15273,4244,2486,4601,928,12148,4145,1678,3607
"G06022","2018",,,"California","06",,,,,,,,,,,,,"22",,,,,"Congressional District 22 (116th Congress), California",771095,523341,26578,9579,62678,729,109998,38192,11407,26785,"Congressional District 22 (116th Congress), California",14653,16889,4463,4164,5747,468,10616,4418,3084,3573
"G06023","2018",,,"California","06",,,,,,,,,,,,,"23",,,,,"Congressional District 23 (116th Congress), California",747852,558772,44943,7917,38586,1575,62353,33706,8953,24753,"Congressional District 23 (116th Congress), California",14607,14746,5285,1802,4428,646,9068,5397,2729,4567
"G06024","2018",,,"California","06",,,,,,,,,,,,,"24",,,,,"Congressional District 24 (116th Congress), California",738707,605269,14494,8054,35385,735,42148,32622,5810,26812,"Congressional District 24 (116th Congress), California",1684,6875,1409,1807,1693,517,6292,4226,2583,3550
"G06025","2018",,,"California","06",,,,,,,,,,,,,"25",,,,,"Congressional District 25 (116th Congress), California",716257,453617,52356,4779,61896,1139,104617,37853,7059,30794,"Congressional District 25 (116th Congress), California",11777,14186,5870,1869,6340,1020,10114,4970,2173,4582
"G06026","2018",,,"California","06",,,,,,,,,,,,,"26",,,,,"Congressional District 26 (116th Congress), California",728927,590235,14078,4552,49488,1406,36272,32896,7286,25610,"Congressional District 26 (116th Congress), California",4075,8009,1592,1373,2781,540,5815,4394,1925,4141
